Company_Full_Name,Shariah,Sector,Company_Key
MAINCOCOALAND HOLDINGS BERHAD,Yes,Food & Beverages,9169
MAINCOMINTEL CORPORATION BHD,No,"Industrial Materials, Components & Equipment",1302
MAINCOMFORT GLOVES BERHAD,Yes,"Industrial Materials, Components & Equipment",3735
MAINCOMPUGATES HOLDINGS BERHAD,Yes,Industrial Services,3529
ACECORAZA INTEGRATED TECHNOLOGY BERHAD,Yes,Industrial Engineering,2712
MAINCREST BUILDER HOLDINGS BERHAD,Yes,Construction,8498
MAINCRESCENDO CORPORATION BERHAD,Yes,Property,4768
LEAPCRG INCORPORATED BERHAD,Yes,Personal Goods,3761
MAINCLASSIC SCENIC BERHAD,Yes,Household Goods,4677
MAINCSC STEEL HOLDINGS BERHAD,Yes,Metals,5132
MAINCSH ALLIANCE BERHAD,No,Building Materials,1420
MAINCTOS DIGITAL BERHAD,Yes,Digital Services,6870
MAINCUSCAPI BERHAD,Yes,Software,8078
MAINCOUNTRY VIEW BERHAD,Yes,Property,3468
MAINCWG HOLDINGS BERHAD,Yes,Consumer Services,3038
MAINCYL CORPORATION BERHAD,Yes,Packaging Materials,7316
MAINCYPARK RESOURCES BERHAD,Yes,Industrial Services,5327
MAIND&O GREEN TECHNOLOGIES BERHAD,Yes,Semiconductors,7741
MAINDANCOMECH HOLDINGS BERHAD,Yes,"Industrial Materials, Components & Equipment",5231
MAINDATAPREP HOLDINGS BHD,Yes,Digital Services,7617
MAINDAYANG ENTERPRISE HOLDINGS BERHAD,Yes,"Energy Infrastructure, Equipment & Services",8413
MAINDAMANSARA HOLDINGS BERHAD,Yes,Property,8618
MAINDELEUM BERHAD,No,"Energy Infrastructure, Equipment & Services",2640
MAINDESTINI BERHAD,Yes,Industrial Engineering,7274
MAINDFCITY GROUP BERHAD,Yes,Building Materials,5166
ACEDIVFEX BERHAD,No,Digital Services,2715
ACEDGB ASIA BERHAD,No,Software,8095
MAINDIALOG GROUP BERHAD,Yes,"Energy Infrastructure, Equipment & Services",3899
MAINDIGI.COM BERHAD,Yes,Telecommunications Service Providers,3883
MAINDIGISTAR CORPORATION BERHAD,No,Digital Services,1370
DANAINFRA NASIONAL-ETBS 4%0223,Yes,Islamic-gg,8560
DANAINFRA NASIONAL-ETBS4.58%1028,Yes,Islamic-gg,1581
MAINDKLS INDUSTRIES BHD,Yes,Construction,9714
MAINDKSH HOLDINGS (MALAYSIA,Yes,Consumer Services,9838
MAINDUTCH LADY MILK INDUSTRIES BERHAD,Yes,Food & Beverages,7667
MAINDAGANG NEXCHANGE BERHAD,Yes,Digital Services,1718
MAIND'NONCE TECHNOLOGY BHD,Yes,Packaging Materials,5839
MAINDOLOMITE CORPORATION BERHAD,No,Building Materials,5077
MAINDOLPHIN INTERNATIONAL BERHAD,No,"Industrial Materials, Components & Equipment",7000
MAINDOMINANT ENTERPRISE BERHAD,Yes,Wood & Wood Products,6297
MAINDUOPHARMA BIOTECH BERHAD,Yes,Pharmaceuticals,7023
ACEDPI HOLDINGS BERHAD,No,Household Goods,2318
MAINDPS RESOURCES BERHAD,Yes,Property,4513
MAINDRB-HICOM BERHAD,Yes,Automotive,3011
MAINDATASONIC GROUP BERHAD,Yes,Digital Services,2830
LEAPDSR TAIKO BERHAD,No,Plantation,9153
MAINDUFU TECHNOLOGY CORP. BERHAD,Yes,"Industrial Materials, Components & Equipment",3152
MAINDUTALAND BERHAD,No,Plantation,2132
LEAPDYNAFRONT HOLDINGS BERHAD,No,Software,9891
MAINEASTERN & ORIENTAL BERHAD,Yes,Property,4637
ACEEA HOLDINGS BERHAD,No,Digital Services,1416
MAINE.A.TECHNIQUE (M,Yes,Transportation & Logistics Services,9481
MAINECM LIBRA GROUP BERHAD,No,Other Financials,6598
MAINECOFIRST CONSOLIDATED BHD,Yes,Property,7350
MAINECOBUILT HOLDINGS BERHAD,Yes,Telecommunications Service Providers,7186
ACEECOMATE HOLDINGS BERHAD,Yes,Household Goods,5243
MAINECONPILE HOLDINGS BERHAD,Yes,Construction,7510
MAINECO WORLD DEVELOPMENT GROUP BERHAD,Yes,Property,6279
MAINEDARAN BERHAD,Yes,Technology Equipment,3690
MAINEDEN INC. BERHAD,Yes,Electricity,1434
MAINUEM EDGENTA BERHAD,Yes,Industrial Services,5091
ACEEDUSPEC HOLDINGS BERHAD,Yes,Software,2773
MAINEFFICIENT E-SOLUTIONS BERHAD,No,Industrial Services,9012
MAINEXCEL FORCE MSC BERHAD,Yes,Software,2729
ACEECONFRAME BERHAD,No,Building Materials,8475
MAINEG INDUSTRIES BERHAD,Yes,"Industrial Materials, Components & Equipment",3765
ACEECOSCIENCE INTERNATIONAL BERHAD,Yes,Industrial Engineering,6037
MAINESTHETICS INTERNATIONAL GROUP BERHAD,Yes,Personal Goods,1774
MAINEITA RESOURCES BERHAD,Yes,"Industrial Materials, Components & Equipment",3251
MAINEKOVEST BERHAD,Yes,Construction,4418
MAINEKSONS CORPORATION BERHAD,No,Wood & Wood Products,3403
MAINELK-DESA RESOURCES BERHAD,No,Other Financials,3959
MAINELSOFT RESEARCH BERHAD,Yes,Technology Equipment,1005
MAINEONMETALL GROUP BERHAD,Yes,Metals,6880
MAINEMICO HOLDINGS BERHAD,Yes,Consumer Services,1355
MAINENCORP BERHAD,Yes,Property,6190
LEAPENEST GROUP BERHAD,Yes,Consumer Services,7726
MAINENG KAH CORPORATION BERHAD,Yes,Household Goods,7865
MAINENGTEX GROUP BERHAD,Yes,Metals,1501
MAINENRA GROUP BERHAD,Yes,Property,1763
MAINEP MANUFACTURING BHD,Yes,Auto Parts,8127
ACEEVERSAFE RUBBER BERHAD,Yes,Auto Parts,4994
ACEES CERAMICS TECHNOLOGY BHD,Yes,"Industrial Materials, Components & Equipment",2257
LEAPEQUITIESTRACKER HOLDINGS BERHAD,No,Consumer Services,2694
MAINEUPE CORPORATION BERHAD,Yes,Property,2251
MAINEURO HOLDINGS BERHAD,Yes,Consumer Services,3992
MAINEUROSPAN HOLDINGS BERHAD,Yes,Household Goods,2706
ACEEVD BERHAD,No,Software,6482
MAINEVERGREEN FIBREBOARD BERHAD,Yes,Wood & Wood Products,9489
MAINEWEIN BERHAD,Yes,Property,1989
MAINECO WORLD INTERNATIONAL BERHAD,Yes,Property,6436
MAINFRASER & NEAVE HOLDINGS BHD,Yes,Food & Beverages,2705
MAINFACB INDUSTRIES INCORPORATED BERHAD,No,Metals,5717
MAINFAJARBARU BUILDER GROUP BHD,Yes,Construction,6732
MAINFAR EAST HOLDINGS BERHAD,Yes,Plantation,7564
MAINFARLIM GROUP (MALAYSIA,Yes,Property,8480
ACEFAST ENERGY HOLDINGS BERHAD,No,"Industrial Materials, Components & Equipment",5388
MAINFAVELLE FAVCO BERHAD,Yes,Industrial Engineering,7745
LEAPFIBROMAT (M,Yes,Industrial Services,4506
MAINFCW HOLDINGS BERHAD,No,Household Goods,2953
MAINFARM FRESH BERHAD,Yes,Food & Beverages,4502
MAINFGV HOLDINGS BERHAD,Yes,Plantation,2113
MAINFIAMMA HOLDINGS BERHAD,Yes,Household Goods,5518
MAINFIBON BERHAD,No,"Industrial Materials, Components & Equipment",6636
MAINFEDERAL INTERNATIONAL HOLDINGS BERHAD,Yes,Household Goods,6670
MAINFIMA CORPORATION BERHAD,Yes,Industrial Services,9995
ACEFINTEC GLOBAL BERHAD,No,Other Financials,5198
MAINFITTERS DIVERSIFIED BERHAD,Yes,"Industrial Materials, Components & Equipment",3290
MAINFOCUS LUMBER BERHAD,No,Wood & Wood Products,9682
ACEFLEXIDYNAMIC HOLDINGS BERHAD,Yes,Industrial Services,3336
MAINFM GLOBAL LOGISTICS HOLDINGS BERHAD,Yes,Transportation & Logistics Services,6919
ACEFOCUS DYNAMICS GROUP BERHAD,No,"Travel, Leisure & Hospitality",5439
ACEFOCUS POINT HOLDINGS BERHAD,Yes,Personal Goods,3607
MAINFOUNDPAC GROUP BERHAD,Yes,"Industrial Materials, Components & Equipment",2003
MAINFORMOSA PROSONIC INDUSTRIES BERHAD,Yes,Household Goods,4122
MAINFRONTKEN CORPORATION BERHAD,Yes,Semiconductors,2432
MAINFSBM HOLDINGS BERHAD,Yes,Technology Equipment,6540
MAING3 GLOBAL BERHAD,Yes,Personal Goods,3175
MAINGADANG HOLDINGS BHD,Yes,Construction,3114
MAINGAMUDA BERHAD,Yes,Construction,8589
MAINGAS MALAYSIA BERHAD,Yes,"Gas, Water & Multi-utilities",3760
MAINGABUNGAN AQRS BERHAD,Yes,Construction,7843
MAING CAPITAL BERHAD,Yes,Transportation & Logistics Services,1205
MAINGUAN CHONG BERHAD,Yes,Food & Beverages,7011
MAINGRAND CENTRAL ENTERPRISES BHD,No,"Travel, Leisure & Hospitality",4057
MAINGDB HOLDINGS BERHAD,Yes,Construction,8515
MAINGDEX BERHAD,Yes,Transportation & Logistics Services,1840
ACEGENETEC TECHNOLOGY BERHAD,Yes,Technology Equipment,9507
MAINGENTING MALAYSIA BERHAD,No,"Travel, Leisure & Hospitality",7891
MAINGENTING PLANTATIONS BERHAD,Yes,Plantation,7973
MAINGENTING BERHAD,No,"Travel, Leisure & Hospitality",6894
MAINGE-SHEN CORPORATION BERHAD,No,"Industrial Materials, Components & Equipment",7350
ACEGFM SERVICES BERHAD,Yes,Industrial Services,6736
MAINGHL SYSTEMS BERHAD,Yes,Digital Services,3121
MAINGIIB HOLDINGS BERHAD,Yes,Auto Parts,2823
MAINGEORGE KENT (MALAYSIA,Yes,Construction,7003
MAINGOLDEN LAND BERHAD,Yes,Plantation,6519
MAINGLOMAC BERHAD,Yes,Property,4814
MAINGLOBALTEC FORMATION BERHAD,Yes,"Industrial Materials, Components & Equipment",6280
MAINGROMUTUAL BERHAD,Yes,Property,7275
ACEG NEPTUNE BERHAD,No,Software,8287
MAINGLOBAL ORIENTAL BERHAD,Yes,Property,8078
ACEGREEN OCEAN CORPORATION BERHAD,No,Food & Beverages,9238
ETFTRADEPLUS SHARIAH GOLD TRACKER,Yes,Commodity Fund,6350
MAINGOPENG BERHAD,Yes,Plantation,4376
MAINGREEN PACKET BERHAD,Yes,Telecommunications Service Providers,4295
MAINGOLDEN PHAROS BERHAD,Yes,Wood & Wood Products,6644
LEAPGPP RESOURCES BERHAD,Yes,Industrial Services,3287
MAINGREATECH TECHNOLOGY BERHAD,Yes,Technology Equipment,1399
MAINGREENYIELD BERHAD,Yes,Agricultural Products,5532
MAINGLOBETRONICS TECHNOLOGY BERHAD,Yes,Semiconductors,6145
MAINGUH HOLDINGS BERHAD,Yes,"Industrial Materials, Components & Equipment",5868
MAINGUOCOLAND (MALAYSIA,Yes,Property,2475
ACEHAILY GROUP BERHAD,Yes,Construction,1878
MAINHANDAL ENERGY BERHAD,Yes,"Energy Infrastructure, Equipment & Services",4498
MAINHAP SENG CONSOLIDATED BERHAD,No,Diversified Industrials,9267
MAINHARBOUR-LINK GROUP BERHAD,Yes,Transportation & Logistics Services,2417
MAINHARRISONS HOLDINGS (MALAYSIA,No,Food & Beverages,8682
MAINHARN LEN CORPORATION BHD,Yes,Plantation,3012
MAINHARTALEGA HOLDINGS BERHAD,Yes,Health Care Equipment & Services,4185
MAINHB GLOBAL LIMITED,No,Food & Beverages,5860
MAINHCK CAPITAL GROUP BERHAD,Yes,Property,4535
MAINHEINEKEN MALAYSIA BERHAD,No,Food & Beverages,8584
MAINHEKTAR REAL ESTATE INVESTMENT TRUST,No,Real Estate Investment Trusts,4490
MAINHENGYUAN REFINING COMPANY BERHAD,Yes,Oil & Gas Producers,5094
MAINHEVEABOARD BERHAD,Yes,Wood & Wood Products,1098
MAINHEXTAR HEALTHCARE BERHAD,No,"Industrial Materials, Components & Equipment",1658
ACEHEXTAR INDUSTRIES BERHAD,Yes,"Industrial Materials, Components & Equipment",8092
MAINHEXTAR GLOBAL BERHAD,Yes,Chemicals,6095
MAINHEXTAR TECHNOLOGIES SOLUTIONS BERHAD,No,Transportation & Logistics Services,2262
MAINHEXZA CORPORATION BERHAD,No,Chemicals,6068
ACEHENG HUAT RESOURCES GROUP BERHAD,Yes,"Industrial Materials, Components & Equipment",1727
ACEHIAP HUAT HOLDINGS BERHAD,Yes,Industrial Services,5613
MAINHIAP TECK VENTURE BERHAD,Yes,Metals,4802
MAINHIBISCUS PETROLEUM BERHAD,Yes,Oil & Gas Producers,4915
MAINKUMPULAN H & L HIGH-TECH BERHAD,Yes,Industrial Engineering,3920
MAINHIL INDUSTRIES BERHAD,Yes,Chemicals,4833
MAINHONG LEONG BANK BERHAD,No,Banking,2209
MAINHONG LEONG CAPITAL BERHAD,No,Other Financials,2704
MAINHONG LEONG FINANCIAL GROUP BERHAD,No,Banking,1984
MAINHONG LEONG INDUSTRIES BERHAD,Yes,Automotive,7607
ACEHLT GLOBAL BERHAD,No,"Industrial Materials, Components & Equipment",2544
ACEHARVEST MIRACLE CAPITAL BERHAD,Yes,Technology Equipment,4775
MAINHO HUP CONSTRUCTION COMPANY BHD,Yes,Construction,6762
MAINHOMERITZ CORPORATION BERHAD,Yes,Household Goods,3853
MAINHONG SENG CONSOLIDATED BERHAD,Yes,Software,4969
MAINHPMT HOLDINGS BERHAD,Yes,"Industrial Materials, Components & Equipment",1039
ACEHPP HOLDINGS BERHAD,Yes,Packaging Materials,9200
MAINHAP SENG PLANTATIONS HOLDINGS BERHAD,Yes,Plantation,6883
MAINHSS ENGINEERS BERHAD,Yes,Industrial Engineering,9991
MAINHEITECH PADU BERHAD,Yes,Digital Services,9819
MAINHUA YANG BERHAD,Yes,Property,8441
MAINHUBLINE BERHAD,Yes,Transportation & Logistics Services,5004
MAINHUME CEMENT INDUSTRIES BERHAD,No,Building Materials,1550
MAINHUP SENG INDUSTRIES BERHAD,Yes,Food & Beverages,7304
MAINHWA TAI INDUSTRIES BERHAD,Yes,Food & Beverages,2508
MAINHO WAH GENTING BERHAD,Yes,"Industrial Materials, Components & Equipment",7530
MAINI-BERHAD,No,Property,3626
MAINIBRACO BERHAD,Yes,Property,8667
MAINICAPITAL.BIZ BERHAD,No,Closed End Fund,1313
MAINICON OFFSHORE BERHAD,Yes,"Energy Infrastructure, Equipment & Services",6729
MAINICONIC WORLDWIDE BERHAD,Yes,"Travel, Leisure & Hospitality",5882
LEAPICT ZONE ASIA BERHAD,Yes,Technology Equipment,9393
LEAPIDB TECHNOLOGIES BERHAD,No,Software,2458
MAINIDEAL CAPITAL BERHAD,Yes,Property,8149
ACEIFCA MSC BERHAD,Yes,Software,4166
MAINIGB BERHAD,No,Property,6637
MAINIGB COMMERCIAL REAL ESTATE INVESTMENT TRUST,No,Real Estate Investment Trusts,3119
MAINIGB REAL ESTATE INVESTMENT TRUST,No,Real Estate Investment Trusts,6465
MAININFRAHARTA HOLDINGS BERHAD,Yes,Construction,7406
MAINIHH HEALTHCARE BERHAD,Yes,Health Care Providers,2333
IHSAN SUKUK-ETBS 4.60%0824,Yes,Islamic-gg,5227
MAINIJM CORPORATION BERHAD,Yes,Construction,1690
MAINILB GROUP BERHAD,No,Transportation & Logistics Services,7154
MAINIMASPRO CORPORATION BERHAD,Yes,Chemicals,6379
MAINIMPIANA HOTELS BERHAD,No,Food & Beverages,6046
MAININARI AMERTRON BERHAD,Yes,Semiconductors,2615
