Market_Cap,Last_Price,Price–earnings_ratio,Dividend_yield,Return_on_equity,Company_Key,Stock_Key
1.233b,4.11,1.47,2.43,53.33,5094,3761
207.23m,0.37,17.80,2.74,2.73,1098,3831
366.20m,0.40,9.39,0.00,6.17,1658,9921
487.62m,0.43,81.73,0.00,2.89,8092,7965
2.311b,1.76,44.11,1.25,21.00,6095,8708
617.52m,4.80,48.29,8.33,7.42,2262,8179
164.31m,0.82,27.70,9.15,2.35,6068,9112
276.11m,0.37,18.14,0.00,9.71,1727,8460
55.88m,0.14,10.00,0.00,7.00,5613,9450
367.02m,0.21,2.35,4.76,12.23,4802,6784
1.690b,0.84,2.76,1.79,28.47,4915,7567
116.96m,0.96,10.51,3.12,9.24,3920,9732
310.65m,0.93,9.26,2.15,8.23,4833,6890
44.438b,20.50,13.51,2.68,10.03,2209,2181
1.528b,6.19,21.09,4.20,7.32,2704,5547
21.183b,18.46,8.64,2.17,9.98,1984,4935
2.981b,9.09,14.13,5.72,10.62,7607,5110
128.89m,0.18,-,0.00,-10.71,2544,8788
110.87m,0.10,18.87,0.00,2.08,4775,6307
128.66m,0.26,-,0.00,-9.98,6762,6238
231.62m,0.50,7.65,3.20,12.82,3853,5156
1.660b,0.33,-,0.00,-,4969,7895
126.47m,0.39,9.82,4.55,9.56,1039,7568
163.14m,0.42,19.44,3.57,7.20,9200,9798
1.544b,1.93,4.89,8.81,16.38,6883,6614
198.34m,0.40,33.33,0.00,2.55,9991,5537
72.88m,0.72,-,0.00,-18.68,9819,4544
79.20m,0.18,90.00,0.00,0.16,8441,3194
171.60m,0.04,13.33,0.00,7.50,5004,7277
423.07m,0.84,135.48,0.00,0.85,1550,6887
528.00m,0.66,22.37,3.79,16.39,7304,6446
39.66m,0.53,-,0.00,-,2508,7166
69.57m,0.11,-,0.00,-2.00,7530,9597
272.85m,0.24,24.24,0.00,0.98,3626,5183
289.40m,0.53,11.78,3.77,5.70,8667,4513
275.80m,1.97,-,10.15,-0.46,1313,2586
256.96m,0.10,7.92,0.00,8.39,6729,2203
61.86m,0.11,7.59,0.00,4.03,5882,2896
117.43m,0.22,-,0.00,-,9393,4605
